,hour,year,month,day,electric
12513,21.08333333333333,2018,11,11,48.0
12514,21.166666666666668,2018,11,11,48.0
12515,21.25,2018,11,11,48.0
12516,21.33333333333333,2018,11,11,48.0
12517,21.416666666666668,2018,11,11,41.4
12518,21.5,2018,11,11,41.4
12519,21.58333333333333,2018,11,11,40.8
12520,21.66666666666667,2018,11,11,41.4
12521,21.75,2018,11,11,43.2
12522,21.83333333333333,2018,11,11,46.2
12523,21.91666666666667,2018,11,11,41.4
12524,22.0,2018,11,11,43.8
12525,22.08333333333333,2018,11,11,41.4
12526,22.16666666666667,2018,11,11,42.0
12527,22.25,2018,11,11,41.4
12528,22.33333333333333,2018,11,11,39.0
12529,22.41666666666667,2018,11,11,42.0
12530,22.5,2018,11,11,42.6
12531,22.58333333333333,2018,11,11,42.6
12532,22.66666666666667,2018,11,11,45.0
12533,22.75,2018,11,11,46.2
12534,22.83333333333333,2018,11,11,51.6
12535,22.91666666666667,2018,11,11,49.2
12536,23.0,2018,11,11,52.2
12537,23.08333333333333,2018,11,11,46.8
12538,23.16666666666667,2018,11,11,46.2
12539,23.25,2018,11,11,45.0
12540,23.33333333333333,2018,11,11,49.8
12541,23.41666666666667,2018,11,11,51.0
12542,23.5,2018,11,11,43.8
12543,23.58333333333333,2018,11,11,42.6
12544,23.66666666666667,2018,11,11,30.0
12545,23.75,2018,11,11,28.8
12546,23.83333333333333,2018,11,11,25.8
12547,23.91666666666667,2018,11,11,27.6
12548,0.0,2018,11,12,30.6
12549,0.08333333333333333,2018,11,12,36.0
12550,0.16666666666666666,2018,11,12,32.4
12551,0.25,2018,11,12,31.2
12552,0.3333333333333333,2018,11,12,33.6
12553,0.4166666666666667,2018,11,12,34.8
12554,0.5,2018,11,12,34.8
12555,0.5833333333333334,2018,11,12,35.4
12556,0.6666666666666666,2018,11,12,27.0
12557,0.75,2018,11,12,28.8
12558,0.8333333333333334,2018,11,12,33.0
12559,0.9166666666666666,2018,11,12,28.8
12560,1.0,2018,11,12,34.8
12561,1.0833333333333333,2018,11,12,31.8
12562,1.1666666666666667,2018,11,12,29.4
12563,1.25,2018,11,12,28.2
12564,1.3333333333333333,2018,11,12,26.4
12565,1.4166666666666667,2018,11,12,27.0
